Year,Median Household Income,Median Household Income Margin of Error,County,Area FIPs
2023,126240,1364.0,Alameda County,06001
2023,110781,18601.0,Alpine County,06003
2023,81526,7398.0,Amador County,06005
2023,68574,2351.0,Butte County,06007
2023,79877,4638.0,Calaveras County,06009
2023,75149,8491.0,Colusa County,06011
2023,125727,1829.0,Contra Costa County,06013
2023,66780,6256.0,Del Norte County,06015
2023,106190,3811.0,El Dorado County,06017
2023,71434,1034.0,Fresno County,06019
2023,70487,4406.0,Glenn County,06021
2023,61135,1997.0,Humboldt County,06023
2023,56393,2266.0,Imperial County,06025
2023,72432,7052.000000000001,Inyo County,06027
2023,67660,1400.0,Kern County,06029
2023,68750,2976.0,Kings County,06031
2023,58738,2308.0,Lake County,06033
2023,64395,5496.0,Lassen County,06035
2023,87760,463.0,Los Angeles County,06037
2023,75496,2389.0,Madera County,06039
2023,142785,4083.000000000001,Marin County,06041
2023,65378,7311.000000000001,Mariposa County,06043
2023,64688,2951.0,Mendocino County,06045
2023,65044,2052.0,Merced County,06047
2023,56648,3735.0,Modoc County,06049
2023,86953,18529.0,Mono County,06051
2023,94486,1879.0,Monterey County,06053
2023,108970,3018.0,Napa County,06055
2023,84905,4336.0,Nevada County,06057
2023,113702,986.0,Orange County,06059
2023,114678,1891.0,Placer County,06061
2023,64946,4399.0,Plumas County,06063
2023,89672,879.0000000000001,Riverside County,06065
2023,88724,986.0,Sacramento County,06067
2023,108289,4359.0,San Benito County,06069
2023,82184,950.0,San Bernardino County,06071
2023,102285,898.9999999999999,San Diego County,06073
2023,141446,2576.0,San Francisco County,06075
2023,88531,1554.0,San Joaquin County,06077
2023,93398,2535.0,San Luis Obispo County,06079
2023,156000,3019.0,San Mateo County,06081
2023,95977,1875.0,Santa Barbara County,06083
2023,159674,1962.0,Santa Clara County,06085
2023,109266,2959.0,Santa Cruz County,06087
2023,71931,2596.0,Shasta County,06089
2023,60000,17579.0,Sierra County,06091
2023,55499,2854.0,Siskiyou County,06093
2023,99994,2122.0,Solano County,06095
2023,102840,2032.0,Sonoma County,06097
2023,79661,1906.0,Stanislaus County,06099
2023,75450,3741.0,Sutter County,06101
2023,61834,3283.0,Tehama County,06103
2023,53498,7852.000000000001,Trinity County,06105
2023,69489,1785.0,Tulare County,06107
2023,72259,5678.0,Tuolumne County,06109
2023,107327,1391.0,Ventura County,06111
2023,88818,3641.0,Yolo County,06113
2023,73313,4341.0,Yuba County,06115
2022,122488,1231.0,Alameda County,06001
2022,101125,17442.0,Alpine County,06003
2022,74853,6048.0,Amador County,06005
2022,66085,2261.0,Butte County,06007
2022,77526,3875.000000000001,Calaveras County,06009
2022,69619,5745.0,Colusa County,06011
2022,120020,1496.0,Contra Costa County,06013
2022,61149,4376.0,Del Norte County,06015
2022,99246,3330.0,El Dorado County,06017
2022,67756,967.0,Fresno County,06019
2022,64033,3963.0,Glenn County,06021
2022,57881,2131.0,Humboldt County,06023
2022,53847,2214.0,Imperial County,06025
2022,63417,5453.0,Inyo County,06027
2022,63883,1325.0,Kern County,06029
2022,68540,2253.0,Kings County,06031
2022,56259,2439.0,Lake County,06033
2022,59515,3551.0000000000005,Lassen County,06035
2022,83411,439.0,Los Angeles County,06037
2022,73543,2844.0,Madera County,06039
2022,142019,4098.0,Marin County,06041
2022,60021,5293.0,Mariposa County,06043
2022,61335,2198.0,Mendocino County,06045
2022,64772,2142.0,Merced County,06047
2022,54962,5389.0,Modoc County,06049
2022,82038,15388.0,Mono County,06051
2022,91043,1900.0,Monterey County,06053
