County,Percent_of_Adults_with_Bachelors_or_Higher,Year,area_fips,Bachelor_Degree_Quartile
Alameda County,51.5,2023,6001,High Education Percentage
Alpine County,42.1,2023,6003,High Education Percentage
Amador County,22.4,2023,6005,Lower Middle Education Percentage
Butte County,31.7,2023,6007,Upper Middle Education Percentage
Calaveras County,22.2,2023,6009,Lower Middle Education Percentage
Colusa County,14.5,2023,6011,Low Education Percentage
Contra Costa County,44.9,2023,6013,High Education Percentage
Del Norte County,21.0,2023,6015,Lower Middle Education Percentage
El Dorado County,38.8,2023,6017,High Education Percentage
Fresno County,23.9,2023,6019,Upper Middle Education Percentage
Glenn County,16.5,2023,6021,Low Education Percentage
Humboldt County,32.1,2023,6023,Upper Middle Education Percentage
Imperial County,16.1,2023,6025,Low Education Percentage
Inyo County,31.8,2023,6027,Upper Middle Education Percentage
Kern County,18.6,2023,6029,Lower Middle Education Percentage
Kings County,13.9,2023,6031,Low Education Percentage
Lake County,17.7,2023,6033,Low Education Percentage
Lassen County,13.2,2023,6035,Low Education Percentage
Los Angeles County,35.5,2023,6037,High Education Percentage
Madera County,17.1,2023,6039,Low Education Percentage
Marin County,60.5,2023,6041,High Education Percentage
Mariposa County,30.9,2023,6043,Upper Middle Education Percentage
Mendocino County,24.9,2023,6045,Upper Middle Education Percentage
Merced County,14.8,2023,6047,Low Education Percentage
Modoc County,23.0,2023,6049,Lower Middle Education Percentage
Mono County,34.3,2023,6051,High Education Percentage
Monterey County,27.9,2023,6053,Upper Middle Education Percentage
Napa County,38.5,2023,6055,High Education Percentage
Nevada County,39.5,2023,6057,High Education Percentage
Orange County,43.4,2023,6059,High Education Percentage
Placer County,42.9,2023,6061,High Education Percentage
Plumas County,20.5,2023,6063,Lower Middle Education Percentage
Riverside County,25.1,2023,6065,Upper Middle Education Percentage
Sacramento County,33.3,2023,6067,Upper Middle Education Percentage
San Benito County,22.4,2023,6069,Lower Middle Education Percentage
San Bernardino County,22.9,2023,6071,Lower Middle Education Percentage
San Diego County,42.1,2023,6073,High Education Percentage
San Francisco County,60.1,2023,6075,High Education Percentage
San Joaquin County,21.6,2023,6077,Lower Middle Education Percentage
San Luis Obispo County,39.2,2023,6079,High Education Percentage
San Mateo County,53.1,2023,6081,High Education Percentage
Santa Barbara County,35.9,2023,6083,High Education Percentage
Santa Clara County,55.9,2023,6085,High Education Percentage
Santa Cruz County,43.6,2023,6087,High Education Percentage
Shasta County,23.3,2023,6089,Upper Middle Education Percentage
Sierra County,24.4,2023,6091,Upper Middle Education Percentage
Siskiyou County,23.1,2023,6093,Lower Middle Education Percentage
Solano County,28.4,2023,6095,Upper Middle Education Percentage
Sonoma County,37.8,2023,6097,High Education Percentage
Stanislaus County,19.1,2023,6099,Lower Middle Education Percentage
Sutter County,20.2,2023,6101,Lower Middle Education Percentage
Tehama County,18.8,2023,6103,Lower Middle Education Percentage
Trinity County,18.0,2023,6105,Lower Middle Education Percentage
Tulare County,15.8,2023,6107,Low Education Percentage
Tuolumne County,23.9,2023,6109,Upper Middle Education Percentage
Ventura County,35.7,2023,6111,High Education Percentage
Yolo County,44.1,2023,6113,High Education Percentage
Yuba County,17.9,2023,6115,Low Education Percentage
Alameda County,50.9,2022,6001,High Education Percentage
Alpine County,39.6,2022,6003,High Education Percentage
Amador County,20.6,2022,6005,Lower Middle Education Percentage
Butte County,30.8,2022,6007,Upper Middle Education Percentage
Calaveras County,21.4,2022,6009,Lower Middle Education Percentage
Colusa County,14.3,2022,6011,Low Education Percentage
Contra Costa County,44.5,2022,6013,High Education Percentage
Del Norte County,17.7,2022,6015,Low Education Percentage
El Dorado County,38.0,2022,6017,High Education Percentage
Fresno County,23.4,2022,6019,Upper Middle Education Percentage
Glenn County,14.9,2022,6021,Low Education Percentage
Humboldt County,31.1,2022,6023,Upper Middle Education Percentage
Imperial County,15.9,2022,6025,Low Education Percentage
Inyo County,29.0,2022,6027,Upper Middle Education Percentage
Kern County,18.3,2022,6029,Lower Middle Education Percentage
Kings County,14.7,2022,6031,Low Education Percentage
Lake County,18.2,2022,6033,Lower Middle Education Percentage
Lassen County,12.1,2022,6035,Low Education Percentage
Los Angeles County,34.6,2022,6037,High Education Percentage
Madera County,17.2,2022,6039,Low Education Percentage
Marin County,61.1,2022,6041,High Education Percentage
Mariposa County,28.9,2022,6043,Upper Middle Education Percentage
Mendocino County,24.0,2022,6045,Upper Middle Education Percentage
Merced County,14.6,2022,6047,Low Education Percentage
Modoc County,23.8,2022,6049,Upper Middle Education Percentage
Mono County,31.7,2022,6051,Upper Middle Education Percentage
Monterey County,27.1,2022,6053,Upper Middle Education Percentage
Napa County,37.8,2022,6055,High Education Percentage
Nevada County,38.8,2022,6057,High Education Percentage
Orange County,42.8,2022,6059,High Education Percentage
Placer County,42.4,2022,6061,High Education Percentage
Plumas County,21.2,2022,6063,Lower Middle Education Percentage
Riverside County,24.1,2022,6065,Upper Middle Education Percentage
Sacramento County,32.6,2022,6067,Upper Middle Education Percentage
San Benito County,22.0,2022,6069,Lower Middle Education Percentage
San Bernardino County,22.4,2022,6071,Lower Middle Education Percentage
San Diego County,41.0,2022,6073,High Education Percentage
San Francisco County,59.8,2022,6075,High Education Percentage
San Joaquin County,20.3,2022,6077,Lower Middle Education Percentage
San Luis Obispo County,38.0,2022,6079,High Education Percentage
San Mateo County,52.9,2022,6081,High Education Percentage
Santa Barbara County,35.7,2022,6083,High Education Percentage
Santa Clara County,55.3,2022,6085,High Education Percentage
Santa Cruz County,42.5,2022,6087,High Education Percentage
Shasta County,22.8,2022,6089,Lower Middle Education Percentage
Sierra County,23.9,2022,6091,Upper Middle Education Percentage
Siskiyou County,22.0,2022,6093,Lower Middle Education Percentage
Solano County,28.2,2022,6095,Upper Middle Education Percentage
Sonoma County,37.8,2022,6097,High Education Percentage
Stanislaus County,18.2,2022,6099,Lower Middle Education Percentage
Sutter County,20.6,2022,6101,Lower Middle Education Percentage
Tehama County,18.2,2022,6103,Lower Middle Education Percentage
Trinity County,19.2,2022,6105,Lower Middle Education Percentage
Tulare County,15.6,2022,6107,Low Education Percentage
Tuolumne County,24.4,2022,6109,Upper Middle Education Percentage
Ventura County,34.7,2022,6111,High Education Percentage
Yolo County,43.3,2022,6113,High Education Percentage
Yuba County,17.4,2022,6115,Low Education Percentage
Alameda County,49.6,2021,6001,High Education Percentage
Alpine County,39.3,2021,6003,High Education Percentage
Amador County,19.5,2021,6005,Lower Middle Education Percentage
Butte County,29.8,2021,6007,Upper Middle Education Percentage
Calaveras County,19.9,2021,6009,Lower Middle Education Percentage
Colusa County,14.7,2021,6011,Low Education Percentage
Contra Costa County,44.1,2021,6013,High Education Percentage
Del Norte County,16.1,2021,6015,Low Education Percentage
El Dorado County,36.8,2021,6017,High Education Percentage
Fresno County,22.6,2021,6019,Lower Middle Education Percentage
Glenn County,14.9,2021,6021,Low Education Percentage
Humboldt County,31.2,2021,6023,Upper Middle Education Percentage
Imperial County,15.2,2021,6025,Low Education Percentage
Inyo County,27.3,2021,6027,Upper Middle Education Percentage
Kern County,17.6,2021,6029,Low Education Percentage
Kings County,14.3,2021,6031,Low Education Percentage
Lake County,17.5,2021,6033,Low Education Percentage
Lassen County,11.8,2021,6035,Low Education Percentage
Los Angeles County,34.0,2021,6037,Upper Middle Education Percentage
Madera County,16.4,2021,6039,Low Education Percentage
Marin County,60.1,2021,6041,High Education Percentage
Mariposa County,28.9,2021,6043,Upper Middle Education Percentage
Mendocino County,24.5,2021,6045,Upper Middle Education Percentage
Merced County,14.1,2021,6047,Low Education Percentage
Modoc County,19.7,2021,6049,Lower Middle Education Percentage
Mono County,29.5,2021,6051,Upper Middle Education Percentage
Monterey County,26.5,2021,6053,Upper Middle Education Percentage
Napa County,37.0,2021,6055,High Education Percentage
Nevada County,38.7,2021,6057,High Education Percentage
Orange County,42.1,2021,6059,High Education Percentage
Placer County,41.6,2021,6061,High Education Percentage
Plumas County,23.0,2021,6063,Lower Middle Education Percentage
Riverside County,23.5,2021,6065,Upper Middle Education Percentage
Sacramento County,32.0,2021,6067,Upper Middle Education Percentage
San Benito County,20.5,2021,6069,Lower Middle Education Percentage
San Bernardino County,21.9,2021,6071,Lower Middle Education Percentage
San Diego County,40.3,2021,6073,High Education Percentage
San Francisco County,59.5,2021,6075,High Education Percentage
San Joaquin County,19.5,2021,6077,Lower Middle Education Percentage
San Luis Obispo County,36.7,2021,6079,High Education Percentage
