area_fips,own_code,industry_code,agglvl_code,size_code,year,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg
06001,0,10,70,0,1990,595141,16223497252,0,0,524,27260,967744275,6.3,-3480153433,-100.0
06003,0,10,70,0,1990,705,11527838,0,0,314,16352,-1725030,-13.0,-5563368,-100.0
06005,0,10,70,0,1990,8248,186736594,0,0,435,22641,25506185,15.8,-39160384,-100.0
06007,0,10,70,0,1990,61789,1118670750,0,0,348,18105,100475662,9.9,-317230025,-100.0
06009,0,10,70,0,1990,6388,120384231,0,0,362,18846,2637393,2.2,-35068500,-100.0
06011,0,10,70,0,1990,6617,115543361,0,0,336,17462,6476576,5.9,-42313392,-100.0
06013,0,10,70,0,1990,297074,8109698289,0,0,525,27299,528304031,7.0,-1880318870,-100.0
06015,0,10,70,0,1990,6634,140278381,0,0,407,21145,37275407,36.2,-31818764,-100.0
06017,0,10,70,0,1990,31513,619329847,0,0,378,19653,73553566,13.5,-173508232,-100.0
06019,0,10,70,0,1990,283020,5547907930,0,0,377,19603,499178809,9.9,-1598278103,-100.0
06021,0,10,70,0,1990,8030,140788096,0,0,337,17532,7841459,5.9,-46938389,-100.0
06023,0,10,70,0,1990,44385,890333981,0,0,386,20059,43581260,5.1,-247018366,-100.0
06025,0,10,70,0,1990,44636,787744126,0,0,339,17648,48676294,6.6,-264440549,-100.0
06027,0,10,70,0,1990,7259,138600053,0,0,367,19095,9911213,7.7,-35063279,-100.0
06029,0,10,70,0,1990,202355,4549214453,0,0,432,22481,399481356,9.6,-1180094095,-100.0
06031,0,10,70,0,1990,30460,638655875,0,0,403,20967,53428200,9.1,-160368778,-100.0
06033,0,10,70,0,1990,11061,199517381,0,0,347,18038,12747614,6.8,-59127039,-100.0
06035,0,10,70,0,1990,7509,162141983,0,0,415,21594,4463616,2.8,-31489312,-100.0
06037,0,10,70,0,1990,4288861,120410111308,0,0,540,28075,6845149988,6.0,-28169788620,-100.0
06039,0,10,70,0,1990,26559,479339322,0,0,347,18048,42264400,9.7,-153449604,-100.0
06041,0,10,70,0,1990,97553,2547976679,0,0,502,26119,224831766,9.7,-623460330,-100.0
06043,0,10,70,0,1990,5504,92396670,0,0,323,16787,15114642,19.6,-23447369,-100.0
06045,0,10,70,0,1990,29175,539802043,0,0,356,18503,42658014,8.6,-167011052,-100.0
06047,0,10,70,0,1990,56613,1003797168,0,0,341,17731,63606082,6.8,-330630150,-100.0
06049,0,10,70,0,1990,2710,45861328,0,0,325,16925,3595519,8.5,-11549433,-100.0
06051,0,10,70,0,1990,5341,92987281,0,0,335,17411,-2182536,-2.3,-37739071,-100.0
06053,0,10,70,0,1990,141924,2854144455,0,0,387,20110,204964007,7.7,-848195350,-100.0
06055,0,10,70,0,1990,45481,974010935,0,0,412,21416,108475791,12.5,-246338598,-100.0
06057,0,10,70,0,1990,21487,428073754,0,0,383,19922,53230452,14.2,-116195478,-100.0
06059,0,10,70,0,1990,1233878,32670224137,0,0,509,26478,2170396452,7.1,-8402289358,-100.0
06061,0,10,70,0,1990,61806,1342974108,0,0,418,21729,198722306,17.4,-347514753,-100.0
06063,0,10,70,0,1990,6490,124512690,0,0,369,19186,8784168,7.6,-31873782,-100.0
06065,0,10,70,0,1990,332768,7117308785,0,0,411,21388,826586556,13.1,-1928756393,-100.0
06067,0,10,70,0,1990,496077,12535592005,0,0,486,25269,1246846342,11.0,-2305666797,-100.0
06069,0,10,70,0,1990,11647,217161245,0,0,359,18646,19914192,10.1,-73740508,-100.0
06071,0,10,70,0,1990,408024,9143430861,0,0,431,22409,861020439,10.4,-2236692154,-100.0
06073,0,10,70,0,1990,1000699,23946470171,0,0,460,23930,1558148558,7.0,-6021826321,-100.0
06075,0,10,70,0,1990,581626,18188856759,0,0,601,31272,932951741,5.4,-3660726809,-100.0
06077,0,10,70,0,1990,169650,3660357424,0,0,415,21576,281717702,8.3,-995433310,-100.0
06079,0,10,70,0,1990,75485,1562798363,0,0,398,20703,140594178,9.9,-408502508,-100.0
06081,0,10,70,0,1990,310320,9255991090,0,0,574,29827,760271777,8.9,-2068333742,-100.0
06083,0,10,70,0,1990,166109,3815645542,0,0,442,22971,261295122,7.4,-961503245,-100.0
06085,0,10,70,0,1990,855974,27693601262,0,0,622,32353,1718103808,6.6,-5794034928,-100.0
06087,0,10,70,0,1990,96730,2019689113,0,0,402,20880,255163218,14.5,-561789897,-100.0
06089,0,10,70,0,1990,53837,1124583520,0,0,402,20889,110280982,10.9,-299905356,-100.0
06091,0,10,70,0,1990,994,21562958,0,0,417,21699,545662,2.6,-3385115,-100.0
06093,0,10,70,0,1990,14014,244151958,0,0,335,17422,12340662,5.3,-69763332,-100.0
06095,0,10,70,0,1990,98877,2331622371,0,0,453,23581,173237195,8.0,-476971782,-100.0
06097,0,10,70,0,1990,147161,3284200474,0,0,429,22317,348981485,11.9,-864385222,-100.0
06099,0,10,70,0,1990,138212,2794845677,0,0,389,20222,271131496,10.7,-839146697,-100.0
06101,0,10,70,0,1990,19990,350203744,0,0,337,17519,19779644,6.0,-116633466,-100.0
06103,0,10,70,0,1990,12396,229235160,0,0,356,18493,7503731,3.4,-69535646,-100.0
06105,0,10,70,0,1990,3204,60268048,0,0,362,18811,222909,0.4,-13374849,-100.0
06107,0,10,70,0,1990,111085,1944684275,0,0,337,17506,175319051,9.9,-644421646,-100.0
06109,0,10,70,0,1990,13812,271660776,0,0,378,19669,18678333,7.4,-75908366,-100.0
06111,0,10,70,0,1990,246302,5930726503,0,0,463,24079,457503240,8.4,-1522998419,-100.0
06113,0,10,70,0,1990,67186,1515160523,0,0,434,22552,176194762,13.2,-330461499,-100.0
06115,0,10,70,0,1990,18852,400554451,0,0,409,21248,87396084,27.9,-86267908,-100.0
06001,0,10,70,0,1991,589348,17245709295,0,0,563,29262,1022212043,6.3,0,0.0
06003,0,10,70,0,1991,741,16666622,0,0,433,22492,5138784,44.6,0,0.0
06005,0,10,70,0,1991,8778,208301148,0,0,456,23730,21564554,11.5,0,0.0
06007,0,10,70,0,1991,59124,1112989894,0,0,362,18825,-5680856,-0.5,0,0.0
06009,0,10,70,0,1991,6435,127298572,0,0,380,19781,6914341,5.7,0,0.0
06011,0,10,70,0,1991,6723,122122096,0,0,349,18165,6578735,5.7,0,0.0
06013,0,10,70,0,1991,289264,8357074813,0,0,556,28891,247376524,3.1,0,0.0
06015,0,10,70,0,1991,6932,150615053,0,0,418,21728,10336672,7.4,0,0.0
06017,0,10,70,0,1991,31295,650034187,0,0,399,20771,30704340,5.0,0,0.0
06019,0,10,70,0,1991,281437,5763192397,0,0,394,20478,215284467,3.9,0,0.0
06021,0,10,70,0,1991,7557,136513492,0,0,347,18065,-4274604,-3.0,0,0.0
06023,0,10,70,0,1991,44653,899290953,0,0,387,20140,8956972,1.0,0,0.0
06025,0,10,70,0,1991,42729,797751737,0,0,359,18670,10007611,1.3,0,0.0
06027,0,10,70,0,1991,6944,142400141,0,0,394,20508,3800088,2.7,0,0.0
06029,0,10,70,0,1991,207184,4869451024,0,0,452,23503,320236571,7.0,0,0.0
06031,0,10,70,0,1991,30561,692340385,0,0,436,22654,53684510,8.4,0,0.0
06033,0,10,70,0,1991,11690,219112450,0,0,360,18743,19595069,9.8,0,0.0
06035,0,10,70,0,1991,7560,191203090,0,0,486,25291,29061107,17.9,0,0.0
06037,0,10,70,0,1991,3989943,118408400149,0,0,571,29677,-2001711159,-1.7,0,0.0
06039,0,10,70,0,1991,28033,527558712,0,0,362,18819,48219390,10.1,0,0.0
06041,0,10,70,0,1991,96971,2692201509,0,0,534,27763,144224830,5.7,0,0.0
