area_fips,own_code,industry_code,agglvl_code,size_code,year,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,state_fips
01001,0,10,70,0,1990,7871,144816773,0,0,354,18399,5364589,3.8,-50772807,-100.0,01
01003,0,10,70,0,1990,27710,421463754,0,0,292,15210,44223431,11.7,-160339450,-100.0,01
01005,0,10,70,0,1990,9356,158373427,0,0,326,16928,9638684,6.5,-59703404,-100.0,01
01007,0,10,70,0,1990,3923,58081069,0,0,285,14806,4604608,8.6,-23788000,-100.0,01
01009,0,10,70,0,1990,7212,104331857,0,0,278,14466,5694327,5.8,-44390304,-100.0,01
01011,0,10,70,0,1990,2959,44349355,0,0,288,14990,2752064,6.6,-17486916,-100.0,01
01013,0,10,70,0,1990,6076,95196805,0,0,301,15667,1956315,2.1,-40060181,-100.0,01
01015,0,10,70,0,1990,45316,847966432,0,0,360,18712,31811059,3.9,-244925554,-100.0,01
01017,0,10,70,0,1990,13547,234428571,0,0,333,17305,-9869547,-4.0,-94455116,-100.0,01
01019,0,10,70,0,1990,4260,62649576,0,0,283,14706,1971244,3.2,-26918900,-100.0,01
01021,0,10,70,0,1990,6239,93820941,0,0,289,15038,4950617,5.6,-38586607,-100.0,01
01023,0,10,70,0,1990,5514,142538083,0,0,497,25850,-54578,0.0,-41705635,-100.0,01
01025,0,10,70,0,1990,8578,150266455,0,0,337,17518,8321744,5.9,-52563745,-100.0,01
01027,0,10,70,0,1990,4495,65852348,0,0,282,14650,5658772,9.4,-30255101,-100.0,01
01029,0,10,70,0,1990,2552,39267753,0,0,296,15389,2205958,6.0,-16886033,-100.0,01
01031,0,10,70,0,1990,12561,189465951,0,0,290,15084,5916930,3.2,-80990300,-100.0,01
01033,0,10,70,0,1990,22690,524727566,0,0,445,23126,43711499,9.1,-137140848,-100.0,01
01035,0,10,70,0,1990,3911,61342806,0,0,302,15683,4836178,8.6,-23220101,-100.0,01
01037,0,10,70,0,1990,2173,34875940,0,0,309,16048,1441980,4.3,-12637630,-100.0,01
01039,0,10,70,0,1990,13421,207044193,0,0,297,15427,9973352,5.1,-87762017,-100.0,01
01041,0,10,70,0,1990,3710,51061682,0,0,265,13765,2211742,4.5,-22968430,-100.0,01
01043,0,10,70,0,1990,20424,348784867,0,0,328,17077,17444185,5.3,-143070959,-100.0,01
01045,0,10,70,0,1990,18235,374602103,0,0,395,20543,9442502,2.6,-92785296,-100.0,01
01047,0,10,70,0,1990,16862,273447048,0,0,312,16217,17441960,6.8,-99613203,-100.0,01
01049,0,10,70,0,1990,18797,296071248,0,0,303,15751,17027391,6.1,-129592367,-100.0,01
01051,0,10,70,0,1990,9708,167893872,0,0,333,17295,15325386,10.0,-47925899,-100.0,01
01053,0,10,70,0,1990,12248,213348726,0,0,335,17419,8250140,4.0,-75288058,-100.0,01
01055,0,10,70,0,1990,33696,672489228,0,0,384,19957,2514055,0.4,-219210247,-100.0,01
01057,0,10,70,0,1990,5840,109642157,0,0,361,18773,1424794,1.3,-39164313,-100.0,01
01059,0,10,70,0,1990,8423,130710654,0,0,298,15518,3715696,2.9,-57644660,-100.0,01
01061,0,10,70,0,1990,6188,87624385,0,0,272,14161,4090327,4.9,-40464607,-100.0,01
01063,0,10,70,0,1990,2521,39018586,0,0,298,15476,2315422,6.3,-14239343,-100.0,01
01065,0,10,70,0,1990,3173,43791715,0,0,265,13803,4770345,12.2,-16723091,-100.0,01
01067,0,10,70,0,1990,4697,72491090,0,0,297,15433,5856413,8.8,-29649198,-100.0,01
01069,0,10,70,0,1990,41172,780935766,0,0,365,18968,48665676,6.6,-276590661,-100.0,01
01071,0,10,70,0,1990,15726,290633350,0,0,355,18482,29535120,11.3,-90388885,-100.0,01
01073,0,10,70,0,1990,341242,7897113453,0,0,445,23142,475165654,6.4,-2232878336,-100.0,01
01075,0,10,70,0,1990,5774,95161168,0,0,317,16482,2838507,3.1,-42529794,-100.0,01
01077,0,10,70,0,1990,26650,435228063,0,0,314,16331,33487968,8.3,-156739988,-100.0,01
01079,0,10,70,0,1990,7269,168034855,0,0,445,23116,38607847,29.8,-34539939,-100.0,01
01081,0,10,70,0,1990,33716,654533387,0,0,373,19413,24479609,3.9,-188265900,-100.0,01
01083,0,10,70,0,1990,20820,578974071,0,0,535,27809,53833658,10.3,-112783695,-100.0,01
01085,0,10,70,0,1990,2802,52593762,0,0,361,18771,-13397118,-20.3,-24436662,-100.0,01
01087,0,10,70,0,1990,6989,122487482,0,0,337,17527,4359558,3.7,-21895873,-100.0,01
01089,0,10,70,0,1990,133980,3423646514,0,0,491,25553,242022598,7.6,-822513826,-100.0,01
01091,0,10,70,0,1990,7057,120462719,0,0,328,17070,9321195,8.4,-40203807,-100.0,01
01093,0,10,70,0,1990,10430,175802117,0,0,324,16856,-5080792,-2.8,-80505926,-100.0,01
01095,0,10,70,0,1990,30311,494406638,0,0,314,16311,29055820,6.2,-211443378,-100.0,01
01097,0,10,70,0,1990,144429,3008559075,0,0,401,20831,200913889,7.2,-913049121,-100.0,01
