Year,Median Household Income,Median Household Income Margin of Error,County,ID Geography,Slug County
2023,126240,1364.0,Alameda County,05000US06001,alameda-county-ca
2023,110781,18601.0,Alpine County,05000US06003,alpine-county-ca
2023,81526,7398.0,Amador County,05000US06005,amador-county-ca
2023,68574,2351.0,Butte County,05000US06007,butte-county-ca
2023,79877,4638.0,Calaveras County,05000US06009,calaveras-county-ca
2023,75149,8491.0,Colusa County,05000US06011,colusa-county-ca
2023,125727,1829.0,Contra Costa County,05000US06013,contra-costa-county-ca
2023,66780,6256.0,Del Norte County,05000US06015,del-norte-county-ca
2023,106190,3811.0,El Dorado County,05000US06017,el-dorado-county-ca
2023,71434,1034.0,Fresno County,05000US06019,fresno-county-ca
2023,70487,4406.0,Glenn County,05000US06021,glenn-county-ca
2023,61135,1997.0,Humboldt County,05000US06023,humboldt-county-ca
2023,56393,2266.0,Imperial County,05000US06025,imperial-county-ca
2023,72432,7052.000000000001,Inyo County,05000US06027,inyo-county-ca
2023,67660,1400.0,Kern County,05000US06029,kern-county-ca
2023,68750,2976.0,Kings County,05000US06031,kings-county-ca
2023,58738,2308.0,Lake County,05000US06033,lake-county-ca
2023,64395,5496.0,Lassen County,05000US06035,lassen-county-ca
2023,87760,463.0,Los Angeles County,05000US06037,los-angeles-county-ca
2023,75496,2389.0,Madera County,05000US06039,madera-county-ca
2023,142785,4083.000000000001,Marin County,05000US06041,marin-county-ca
2023,65378,7311.000000000001,Mariposa County,05000US06043,mariposa-county-ca
2023,64688,2951.0,Mendocino County,05000US06045,mendocino-county-ca
2023,65044,2052.0,Merced County,05000US06047,merced-county-ca
2023,56648,3735.0,Modoc County,05000US06049,modoc-county-ca
2023,86953,18529.0,Mono County,05000US06051,mono-county-ca
2023,94486,1879.0,Monterey County,05000US06053,monterey-county-ca
2023,108970,3018.0,Napa County,05000US06055,napa-county-ca
2023,84905,4336.0,Nevada County,05000US06057,nevada-county-ca
2023,113702,986.0,Orange County,05000US06059,orange-county-ca
2023,114678,1891.0,Placer County,05000US06061,placer-county-ca
2023,64946,4399.0,Plumas County,05000US06063,plumas-county-ca
2023,89672,879.0000000000001,Riverside County,05000US06065,riverside-county-ca
2023,88724,986.0,Sacramento County,05000US06067,sacramento-county-ca
2023,108289,4359.0,San Benito County,05000US06069,san-benito-county-ca
2023,82184,950.0,San Bernardino County,05000US06071,san-bernardino-county-ca
2023,102285,898.9999999999999,San Diego County,05000US06073,san-diego-county-ca
2023,141446,2576.0,San Francisco County,05000US06075,san-francisco-county-ca
2023,88531,1554.0,San Joaquin County,05000US06077,san-joaquin-county-ca
2023,93398,2535.0,San Luis Obispo County,05000US06079,san-luis-obispo-county-ca
2023,156000,3019.0,San Mateo County,05000US06081,san-mateo-county-ca
